code,name,price,涨幅%,换手率%,成交量,MA5,MA20,RSI,评级,策略,环境,风险档,触发价,止损价,每股风险,TY高,TY低,突破状态,放量阈值,动量20日%,C23,C23原因
301301,川宁生物,9.02,-0.22123893805309214,0.0,134811.0,8.926,8.718,0,A,钻潜评级策略,good,1R,9.09,8.63,0.46,9.07,8.65,未突破,217562.0,6.1,不达标,止损0.46元<0.5
600182,S佳通,13.17,0.3810975609756184,0.0,21904.0,13.108,12.9785,0,A,钻潜评级策略,weak,0.5R,13.34,12.9,0.44,13.31,12.93,未突破,24506.0,0.3,不达标,止损0.44元<0.5
600582,天地科技,4.93,1.2320328542094305,0.0,431784.0,4.854,4.8655,0,A,钻潜评级策略,good,1R,5.0,4.76,0.24,4.99,4.77,未突破,345946.0,4.8,不达标,止损0.24元<0.5
600789,鲁抗医药,7.51,-0.6613756613756627,0.0,451687.0,7.456,7.3595,0,A,钻潜评级策略,good,1R,7.67,7.27,0.4,7.65,7.28,未突破,394366.0,7.3,不达标,止损0.40元<0.5
601077,渝农商行,6.51,0.7739938080495223,0.0,585572.0,6.4719999999999995,6.615,0,A,钻潜评级策略,weak,0.5R,6.59,6.37,0.22,6.58,6.38,未突破,1060636.0,-1.5,不达标,止损0.22元<0.5
601128,常熟银行,6.09,-0.6525285481239762,0.0,480703.0,6.154,6.258,0,A,钻潜评级策略,weak,0.5R,6.32,6.07,0.25,6.31,6.08,未突破,771224.0,2.8,不达标,止损0.25元<0.5
601188,龙江交通,2.86,-1.038062283737029,0.0,104804.0,2.8600000000000003,2.8665000000000003,0,A,钻潜评级策略,weak,0.5R,2.92,2.79,0.13,2.91,2.8,未突破,209893.0,0.3,不达标,止损0.13元<0.5
601368,绿城水务,4.53,0.22123893805310324,0.0,67815.0,4.464,4.404,0,A,钻潜评级策略,good,1R,4.55,4.36,0.19,4.54,4.37,未突破,91634.0,5.6,不达标,止损0.19元<0.5
603053,成都燃气,8.9,-1.1111111111111072,0.0,82647.0,8.918,8.825,0,A,钻潜评级策略,good,1R,9.14,8.79,0.35,9.12,8.81,未突破,35238.0,4.3,不达标,止损0.35元<0.5
603298,杭叉集团,8.93,-2.510917030567694,0.0,96537.0,9.114,9.258500000000002,0,A,钻潜评级策略,weak,0.5R,9.31,8.86,0.45,9.29,8.88,未突破,80517.0,-0.7,不达标,止损0.45元<0.5
603299,苏盐井神,8.93,-2.510917030567694,0.0,96537.0,9.114,9.2585,0,A,钻潜评级策略,weak,0.5R,9.31,8.86,0.45,9.29,8.88,未突破,80517.0,-0.7,不达标,止损0.45元<0.5
688459,哈铁科技,8.12,-1.3365735115431487,0.0,10215.0,8.164,8.0935,0,A,钻潜评级策略,weak,0.5R,8.26,8.03,0.23,8.24,8.05,未突破,16696.0,2.0,不达标,止损0.23元<0.5
000958,,5.59,2.007299270072993,0.0,333494.0,5.514,5.460500000000001,0,B,钻潜评级策略,bad,0.5R,5.72,5.43,0.29,5.71,5.44,未突破,330219.0,8.1,不达标,止损0.29元<0.5
002084,,3.4,-4.761904761904756,0.0,432703.0,3.5,3.4345,0,B,钻潜评级策略,good,1R,3.61,3.42,0.19,3.6,3.43,未突破,266836.0,-4.0,不达标,止损0.19元<0.5
002391,,5.19,-3.3519553072625663,0.0,178684.0,5.268,5.169,0,B,钻潜评级策略,good,1R,5.39,5.16,0.23,5.38,5.17,未突破,114026.0,4.7,不达标,止损0.23元<0.5
002688,,5.22,-0.5714285714285783,0.0,103337.0,5.176,5.043,0,B,钻潜评级策略,good,1R,5.27,5.01,0.26,5.26,5.02,未突破,140191.0,5.6,不达标,止损0.26元<0.5
002749,,8.84,-2.9637760702524663,0.0,53475.0,8.768,8.629,0,B,钻潜评级策略,good,1R,8.92,8.47,0.45,8.9,8.49,未突破,79241.0,9.4,不达标,止损0.45元<0.5
600117,西宁特钢,2.26,-1.7391304347826098,0.0,136694.0,2.286,2.243,0,B,钻潜评级策略,good,1R,2.32,2.23,0.09,2.32,2.23,未突破,216114.0,6.9,不达标,止损0.09元<0.5
600168,武汉控股,4.34,0.0,0.0,52216.0,4.302,4.2705,0,B,钻潜评级策略,good,1R,4.41,4.22,0.19,4.4,4.23,未突破,87732.0,3.5,不达标,止损0.19元<0.5
600368,五洲交通,3.99,-1.9656019656019708,0.0,241104.0,3.968,3.8574999999999995,0,B,钻潜评级策略,good,1R,4.06,3.86,0.2,4.05,3.87,未突破,274561.0,5.7,不达标,止损0.20元<0.5
600526,菲达环保,4.47,-1.106194690265483,0.0,74274.0,4.438000000000001,4.3565,0,B,钻潜评级策略,good,1R,4.54,4.32,0.22,4.53,4.33,未突破,124267.0,5.1,不达标,止损0.22元<0.5
600551,时代出版,6.91,-0.7183908045977017,0.0,35249.0,6.944,6.858,0,B,钻潜评级策略,weak,0.5R,7.11,6.79,0.32,7.1,6.8,未突破,68592.0,6.3,不达标,止损0.32元<0.5
